,Date,Day of Week,Month,Year,number of items featured,who's featured,product type,number of pictures in post,likes,comments,saves,shares,impressions,number of days since previous post,season,profile visits,percent weren't following,follows,purpose
82,3/13/2022,Sunday,March,2022,1,myself,wrap top,3,111,10,10,3,584,8,spring,45,33,4,debut
83,3/20/2022,Sunday,March,2022,7,none,animal hat,7,84,4,5,14,587,7,spring,44,44,6,debut
84,3/25/2022,Friday,March,2022,3,myself,tiny top,3,93,2,1,3,522,5,spring,56,24,2,debut
85,4/18/2022,Monday,April,2022,1,layout,animal hat,2,90,4,3,11,636,24,spring,17,34,6,advertise
86,4/25/2022,Monday,April,2022,1,myself,dress,4,77,9,2,2,621,7,spring,30,31,2,brag
87,5/10/2022,Tuesday,May,2022,2,layout,beer can hat,2,128,48,3,37,1198,15,spring,175,-,28,giveaway
88,5/24/2022,Tuesday,May,2022,6,myself,mixed,video,178,1,11,2,2499,14,spring,-,-,-,reel
89,5/29/2022,Sunday,May,2022,1,layout,animal hat,2,82,3,1,5,2199,5,spring,36,-,0,debut
90,6/3/2022,Friday,June,2022,1,myself,halter top,3,90,9,3,3,1013,5,summer,31,,0,advertise
91,6/5/2022,Sunday,June,2022,3,customer,tiny top,3,134,16,3,6,1379,2,summer,70,,0,pride
92,6/14/2022,Tuesday,June,2022,1,myself,tiny top,3,99,4,1,4,810,9,summer,37,,2,pattern test
93,6/15/2022,Wednesday,June,2022,1,graphic,pattern,1,40,2,5,12,715,1,summer,22,,28,pattern tester call
94,6/20/2022,Monday,June,2022,1,myself,set,2,61,2,2,1,682,5,summer,19,,0,advertise
95,7/4/2022,Monday,July,2022,1,graphic,plush,2,162,1,10,19,1809,14,summer,36,,2,fundraiser
96,7/9/2022,Saturday,July,2022,6,layout,animal hat,6,50,5,2,2,737,5,summer,6,,0,advertise
97,7/11/2022,Monday,July,2022,1,graphic,pattern,1,38,2,7,9,494,2,summer,10,,2,advertise
98,7/15/2022,Friday,July,2022,1,heart,heart,3,50,3,1,2,545,4,summer,6,,2,brag
99,7/21/2022,Thursday,July,2022,1,myself,produce bag,3,68,5,2,8,632,6,summer,12,,0,debut
100,7/21/2022,Thursday,July,2022,1,heart,heart,4,41,4,0,2,464,0,summer,6,,1,brag
101,7/28/2022,Thursday,July,2022,1,customer,produce bag,3,62,6,0,2,644,7,summer,13,,0,advertise
102,7/31/2022,Sunday,July,2022,1,heart,heart,6,58,3,1,2,603,3,summer,8,,0,brag
103,8/4/2022,Thursday,August,2022,1,customer,tank top,4,52,0,0,4,539,4,summer,30,,0,advertise
104,9/9/2022,Friday,September,2022,1,myself,drink holder,1,37,3,0,0,476,36,fall,2,,0,advertise
105,11/10/2022,Thursday,November,2022,1,myself,sweater,5,101,7,6,0,1515,62,fall,8,,0,advertise
